kanji, hanViet,
圧,ÁP,
囲,VI,
易,DỊCH,
移,DI,
因,NHÂN,
営,DOANH,
永,VĨNH,
衛,VỆ,
液,DỊCH,
益,ÍCH,
演,DIỄN,
往,VÃNG,
応,ỨNG,
仮,GIẢ,
価,GIÁ,
可,KHẢ,
河,HÀ,
過,QUÁ,
解,GIẢI,
快,KHOÁI,
格,CÁCH,
確,XÁC,
額,NGẠCH,
刊,SAN,
幹,CÁN,
慣,QUÁN,
眼,NHÃN,
喜,HỶ,
基,CƠ,
寄,KÍ,
紀,KỈ,
規,QUY,
技,KĨ,
義,NGHĨA,
逆,NGHỊCH,
久,CỬU,
救,CỨU,
旧,CỰU,
居,CƯ,
許,HỨA,
境,CẢNH,
興,HƯNG,
均,QUÂN,
禁,CẤM,
句,CÚ,
型,HÌNH,
経,KINH,
潔,KHIẾT,
件,KIỆN,
検,KIỂM,
険,HIỂM,
減,GIẢM,
現,HIỆN,
限,HẠN,
個,CÁ,
故,CỐ,
護,HỘ,
効,HIỆU,
厚,HẬU,
構,CẤU,
耕,CANH,
航,HÀNG,
講,GIẢNG,
鉱,KHOÁNG,
告,CÁO,
混,HỖN,
査,TRA,
再,TÁI,
妻,THÊ,
採,THÁI,
災,TAI,
際,TẾ,
在,TẠI,
罪,TỘI,
財,TÀI,
桜,ANH,
殺,SÁT,
雑,TẠP,
賛,TÁN,
酸,TOAN,
史,SỬ,
士,SĨ,
師,SƯ,
志,CHÍ,
支,CHI,
枝,CHI,
資,TƯ,
飼,TỰ,
似,TỰ,
示,THỊ,
識,THỨC,
質,CHẤT,
舎,XÁ,
謝,TẠ,
授,THỤ,
修,TU,
術,THUẬT,
述,THUẬT,
準,CHUẨN,
序,TỰ,
招,CHIÊU,
証,CHỨNG,
象,TƯỢNG,
賞,THƯỞNG,
常,THƯỜNG,
情,TÌNH,
条,ĐIỀU,
状,TRẠNG,
織,CHỨC,
職,CHỨC,
制,CHẾ,
勢,THẾ,
性,TÍNH,
政,CHÍNH,
精,TINH,
製,CHẾ,
税,THUẾ,
績,TÍCH,
責,TRÁCH,
接,TIẾP,
設,THIẾT,
絶,TUYỆT,
祖,TỔ,
素,TỐ,
総,TỔNG,
像,TƯỢNG,
増,TĂNG,
造,TẠO,
則,TẮC,
測,TRẮC,
属,THUỘC,
損,TỔN,
態,THÁI,
貸,THẢI,
団,ĐOÀN,
断,ĐOẠN,
築,TRÚC,
貯,TRỮ,
張,TRƯƠNG,
停,ĐÌNH,
提,ĐỀ,
程,TRÌNH,
適,THÍCH,
統,THỐNG,
堂,ĐƯỜNG,
導,ĐẠO,
銅,ĐỒNG,
得,ĐẮC,
毒,ĐỘC,
独,ĐỘC,
任,NHIỆM,
燃,NHIÊN,
能,NĂNG,
破,PHÁ,
判,PHÁN,
版,BẢN,
犯,PHẠM,
比,TỶ,
肥,PHÌ,
費,PHÍ,
非,PHI,
備,BỊ,
評,BÌNH,
貧,BẦN,
婦,PHỤ,
布,BỐ,
武,VŨ,
復,PHỤC,
複,PHỨC,
仏,PHẬT,
粉,PHẤN,
編,BIÊN,
弁,BIỆN,
保,BẢO,
墓,MỘ,
報,BÁO,
豊,PHONG,
暴,BẠO,
貿,MẬU,
防,PHÒNG,
脈,MẠCH,
務,VỤ,
夢,MỘNG,
迷,MÊ,
綿,MIÊN,
輸,THÂU,
余,DƯ,
容,DUNG,
率,SUẤT,
略,LƯỢC,
留,LƯU,
領,LÃNH,
歴,LỊCH,
